id,tree_re,tree_im,ep0_re,ep0_im,epm1_re,epm1_im,epm2_re,epm2_im
92,7.46916328857274449e-004,-0.0000000000000000,-1.25268737034571259e-003,-4.47962115244064825e-004,-1.96865620356888289e-004,-5.87574196208897866e-005,-1.87030675520359529e-005,4.51127205925922274e-019
93,1.28298393723818151e-003,-0.0000000000000000,-2.04433540273524792e-003,-9.12103449922666010e-004,-3.38157594034652097e-004,-1.00928072737408131e-004,-3.21264033457088261e-005,-1.22361321154126062e-018
94,1.94450618846412726e-003,-0.0000000000000000,-3.02494620183095964e-003,-1.50451933118918649e-003,-5.12515796335009065e-004,-1.52967824717410196e-004,-4.86911708757008758e-005,-5.56105010982556706e-019
95,2.77099534410903863e-003,-0.0000000000000000,-4.25137720503760645e-003,-2.27416936606087208e-003,-7.30354520777147650e-004,-2.17984973566406046e-004,-6.93867721255666793e-005,-2.80911328337264545e-018
96,3.83216091322418403e-003,-0.0000000000000000,-5.81937914455390830e-003,-3.30383352262948911e-003,-1.01004718512996043e-003,-3.01463334159049251e-004,-9.59587595842770061e-005,8.20492168710475937e-019
97,5.26866488398341701e-003,-0.0000000000000000,-7.92073634760566761e-003,-4.74732355471491237e-003,-1.38866823600293618e-003,-4.14468316558815595e-004,-1.31929362670354770e-004,-3.29742157199104579e-019
98,7.43869118366396846e-003,-0.0000000000000000,-1.10680371804185215e-002,-6.96428196840418422e-003,-1.96062463482984430e-003,-5.85177057218417380e-004,-1.86267642480094541e-004,-7.25987213954531850e-019
99,1.18620956249264834e-002,-0.0000000000000000,-1.75887558313831821e-002,-1.14274671855707395e-002,-3.12650657614220277e-003,-9.33151550300459183e-004,-2.97031363774976026e-004,-9.54377626509109830e-018
100,-1.06933676154565593e-004,0.0000000000000000,1.79574668106106082e-004,9.54857562428688755e-005,2.81846358531460148e-005,8.41211623568519208e-006,2.67765975324976356e-006,-1.79928077024753944e-018
101,-2.22199866200863306e-004,0.0000000000000000,3.29226178038808802e-004,1.98881392165674645e-004,5.85654816179535863e-005,1.74797233503213490e-005,5.56396874737097654e-006,-1.00562595133547764e-018
102,-3.40306049531467216e-004,0.0000000000000000,4.82126863216042413e-004,3.05490621794211881e-004,8.96948680453876301e-005,2.67707433638854205e-005,8.52139227333571016e-006,-3.21393142768328129e-019
103,-4.55799013345479294e-004,0.0000000000000000,6.30915907974572386e-004,4.10659358478058611e-004,1.20135485134620397e-004,3.58561901244362313e-005,1.14133797960276326e-005,7.07557987955273741e-020
104,5.63286162593753538e-004,-0.0000000000000000,-7.68287539801460460e-004,-5.09788437262992150e-004,-1.48466000212787861e-004,-4.43118461121690468e-005,-1.41048986924612037e-005,8.26590314644067229e-020
105,6.57457034443790556e-004,-0.0000000000000000,-8.87016907968794788e-004,-5.98346263113381811e-004,-1.73286728304599172e-004,-5.17199549182072830e-005,-1.64629729633901900e-005,-1.23128829377850583e-020
106,7.33101545533575670e-004,-0.0000000000000000,-9.79979625714946182e-004,-6.71877930723974864e-004,-1.93224441575762018e-004,-5.76706566345187399e-005,-1.83571401494548845e-005,1.95211308574671259e-020
107,7.85121301260200983e-004,-0.0000000000000000,-1.04015962472826253e-003,-7.26006994192706853e-004,-2.06935350127923396e-004,-6.17628775399978983e-005,-1.96597345201032481e-005,-2.34836574360218410e-019
108,8.08529756470081342e-004,-0.0000000000000000,-1.06063904212742605e-003,-7.56425231996671788e-004,-2.13105144358877798e-004,-6.36043427382339624e-005,-2.02458910977460308e-005,-4.05320932492971671e-019
109,7.98436019193417387e-004,-0.0000000000000000,-1.03456227989696600e-003,-7.58864290644803083e-004,-2.10444726084589947e-004,-6.28103020487400811e-005,-1.99931400962790599e-005,1.27817363580970666e-019
110,7.50005406935399751e-004,-0.0000000000000000,-9.55063889343111985e-004,-7.29040637115723703e-004,-1.97679812320784642e-004,-5.90004271042753113e-005,-1.87804192362991489e-005,-7.67453959116255843e-020
111,6.58387092998067767e-004,-0.0000000000000000,-8.15146087740791512e-004,-6.62561217435241349e-004,-1.73531864936908380e-004,-5.17931195266264270e-005,-1.64862619815054873e-005,5.44063470463804965e-019
112,5.18594583104600780e-004,-0.0000000000000000,-6.07485772438612695e-004,-5.54770600997536029e-004,-1.36686587737265281e-004,-4.07961084205833637e-005,-1.29858046279694235e-005,-1.69840725050343460e-019
113,3.25316981777321577e-004,-0.0000000000000000,-3.24141586627117772e-004,-4.00509492610072373e-004,-8.57441817188050808e-005,-2.55916033297887092e-005,-8.14606034301579934e-006,4.01471374072705757e-019
114,7.26254349862188688e-005,-0.0000000000000000,4.38834527253536926e-005,-1.93736451706217044e-004,-1.91419718109385674e-005,-5.71320105617872248e-006,-1.81856837784546318e-006,2.49009839710991859e-019
115,2.46485477931772997e-004,-0.0000000000000000,-5.07293928729020578e-004,-7.30654389136421722e-005,-6.49664689976614139e-005,-1.93901915079502745e-005,-6.17208965213395985e-006,-1.12568186954324473e-019
116,6.40828445655313404e-004,-0.0000000000000000,-1.07948653313239104e-003,-4.09826146945332058e-004,-1.68903911486501814e-004,-5.04118392274092346e-005,-1.60465868067813604e-005,-3.62747491451693339e-020
117,1.12222767069436262e-003,-0.0000000000000000,-1.77808485928033404e-003,-8.30388965105769219e-004,-2.95786874699677737e-004,-8.82819127256863757e-005,-2.81010055918785540e-005,-8.64011656206439053e-019
118,1.70760272478261816e-003,-0.0000000000000000,-2.62747901448410082e-003,-1.35496169883378079e-003,-4.50074870171816833e-004,-1.34331418352790194e-004,-4.27590184868854116e-005,3.26831075298293540e-019
119,2.42282348471128733e-003,-0.0000000000000000,-3.66345445142736946e-003,-2.01428400219645035e-003,-6.38586451934504049e-004,-1.90595453144759292e-004,-6.06684169976225309e-005,-2.11713790256621035e-018
120,3.31052070916315307e-003,-0.0000000000000000,-4.94284221181652984e-003,-2.85731264731920506e-003,-8.72557859479218849e-004,-2.60427636884139914e-004,-8.28966914555135336e-005,2.11220660961849970e-019
