id,ct0_re,ct0_im
440,+6.22980e-3,+3.86236e-3
441,+7.98600e-3,+4.95117e-3
442,+1.00406e-2,+6.22502e-3
443,+1.24796e-2,+7.73710e-3
444,+1.54500e-2,+9.57872e-3
445,+1.92225e-2,+1.19176e-2
446,+2.43450e-2,+1.50935e-2
447,+3.21034e-2,+1.99035e-2
448,+4.63621e-2,+2.87437e-2
449,+8.64361e-2,+5.35888e-2
450,-3.94821e-4,-2.44782e-4
451,-7.37832e-4,-4.57442e-4
452,-1.01280e-3,-6.27916e-4
453,-1.20456e-3,-7.46807e-4
454,-1.29907e-3,-8.05403e-4
455,-1.28337e-3,-7.95668e-4
456,-1.14556e-3,-7.10223e-4
457,+8.74682e-4,+5.42287e-4
458,+4.60622e-4,+2.85577e-4
459,+1.06213e-4,+6.58501e-5
460,+8.35258e-4,+5.17845e-4
461,+1.73639e-3,+1.07653e-3
462,+2.82079e-3,+1.74884e-3
463,+4.10230e-3,+2.54335e-3
464,+5.59940e-3,+3.47153e-3
465,+7.33844e-3,+4.54970e-3
466,+9.35892e-3,+5.80236e-3
467,+1.17226e-2,+7.26780e-3
468,+1.45303e-2,+9.00853e-3
469,+1.79553e-2,+1.11320e-2
470,+2.23164e-2,+1.38358e-2
471,+2.82596e-2,+1.75204e-2
472,+3.73029e-2,+2.31271e-2
473,+5.40112e-2,+3.34860e-2
474,+1.01215e-1,+6.27512e-2
475,-4.55737e-4,-2.82549e-4
476,-8.47535e-4,-5.25457e-4
477,-1.15699e-3,-7.17314e-4
478,-1.36695e-3,-8.47485e-4
479,-1.46153e-3,-9.06122e-4
480,-1.42611e-3,-8.84162e-4
481,-1.24728e-3,-7.73293e-4
482,+9.12744e-4,+5.65885e-4
483,+4.11093e-4,+2.54871e-4
484,+2.68476e-4,+1.66450e-4
485,+1.13666e-3,+7.04706e-4
486,+2.20473e-3,+1.36689e-3
487,+3.48562e-3,+2.16102e-3
488,+4.99548e-3,+3.09711e-3
489,+6.75610e-3,+4.18866e-3
490,+8.79878e-3,+5.45508e-3
491,+1.11706e-2,+6.92556e-3
492,+1.39454e-2,+8.64588e-3
493,+1.72439e-2,+1.06909e-2
494,+2.12740e-2,+1.31895e-2
495,+2.64182e-2,+1.63788e-2
496,+3.34525e-2,+2.07399e-2
497,+4.42016e-2,+2.74042e-2
498,+6.41565e-2,+3.97758e-2
499,+1.20790e-1,+7.48875e-2
500,-5.41103e-4,-3.35474e-4
