0_5_re,integrand_re,0_2_im,0_4_re,0_0_re,rescaled_integrand_re,rescaled_integrand_im,0_5_im,0_3_re,0_1_im,deform_jac_im,0_3_im,0_0_im,param_jac,0_1_re,integrand_im,deform_jac_re,0_4_im,0_2_re
0.0,-0.45548436950028115,0.0,0.0,238912.9443958106,-6.187174310459737e-10,-2.120174818976265e-12,0.0,0.0,526298.2764703988,-6.395975991282604e-12,0.0,-526298.2764703996,1.2014412807957391e+38,-238912.94439581028,-0.3871617140702208,1.0,0.0,0.0
0.0,-0.6995271800069318,0.0,0.0,168548.35318672835,-1.3469100284155184e-09,-2.9777361197654084e-12,0.0,0.0,371293.01654930285,-9.0661305535949e-12,0.0,-371293.016549304,2.976062008597116e+37,-168548.35318672782,-0.3836116793503908,1.0,0.0,0.0
0.0,-0.6148582005892103,0.0,0.0,118907.53256368288,-1.6781242885036653e-09,-3.321127837151966e-12,0.0,0.0,261939.88635761492,-1.2851005896633096e-11,0.0,-261939.88635761652,7.371932680981876e+36,-118907.53256368215,-0.3018394802794429,1.0,0.0,0.0
0.0,-0.5815284755832734,0.0,0.0,83886.91210546806,-2.2497552499423137e-09,-4.9667718894432005e-12,0.0,0.0,184793.4085134714,-1.8215968675287636e-11,0.0,-184793.4085134737,1.8260840842362487e+36,-83886.91210546701,-0.3184560699484989,1.0,0.0,0.0
0.0,-0.5926589182384521,0.0,0.0,59180.558525516935,-3.2500067811934493e-09,-6.247814628065444e-12,0.0,0.0,130368.0975359157,-2.5820665046805592e-11,0.0,-130368.09753591898,4.523349674784493e+35,-59180.55852551545,-0.2826105026597386,1.0,0.0,0.0
0.0,-0.5913025107186587,0.0,0.0,41750.71409234749,-4.596257103371435e-09,-7.646098789396936e-12,0.0,0.0,91972.11568874112,-3.660012559252278e-11,0.0,-91972.11568874573,1.120468262379455e+35,-41750.71409234539,-0.2439972429034071,1.0,0.0,0.0
0.0,-0.5980022683685693,0.0,0.0,29454.303254683626,-6.588894655372981e-09,-1.1860505104175398e-11,0.0,0.0,64884.50919181336,-5.187973228524578e-11,0.0,-64884.50919181991,2.7754855036025998e+34,-29454.303254680653,-0.26701340019717984,1.0,0.0,0.0
0.0,-0.5928525459440938,0.0,0.0,20779.42868204418,-9.259159537580159e-09,-1.7119936241664525e-11,0.0,0.0,45774.7387119486,-7.353818021884935e-11,0.0,-45774.73871195788,6.87508961596957e+33,-20779.428682039965,-0.27190479732733136,1.0,0.0,0.0
0.0,-0.5951847393261078,0.0,0.0,14659.476062307185,-1.3176249257054027e-08,-2.4243693437686017e-11,0.0,0.0,32293.173194021565,-1.0423847033831625e-10,0.0,-32293.173194034724,1.7030122515558585e+33,-14659.476062301212,-0.27164290997292734,1.0,0.0,0.0
0.0,-0.5953772256873727,0.0,0.0,10341.97051177091,-1.8683032369820275e-08,-3.399790790162253e-11,0.0,0.0,22782.195320456463,-1.4775533853535238e-10,0.0,-22782.195320475115,4.2184915560011935e+32,-10341.970511762445,-0.26874268380360394,1.0,0.0,0.0
0.0,-0.5942991583886112,0.0,0.0,7296.055679947045,-2.6434760950153317e-08,-4.8480348124158e-11,0.0,0.0,16072.388412006945,-2.0943937464059003e-10,0.0,-16072.388412033382,1.0449526353884232e+32,-7296.055679935045,-0.2703554087972734,1.0,0.0,0.0
0.0,-0.5942760706772203,0.0,0.0,5147.222983915579,-3.746913164983474e-08,-6.857992294727278e-11,0.0,0.0,11338.752291157987,-2.968749020120596e-10,0.0,-11338.752291195462,2.5884276955223395e+31,-5147.222983898569,-0.26980575727255507,1.0,0.0,0.0
0.0,-0.59434285035126,0.0,0.0,3631.2640024676775,-5.311748773240435e-08,-9.72300766468874e-11,0.0,0.0,7999.265598882255,-4.208125030579622e-10,0.0,-7999.265598935374,6.411733829421813e+30,-3631.2640024435655,-0.26986076654123897,1.0,0.0,0.0
